City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,tasiilaq,65.6145,-37.6368,26.76,81,100,10.42,GL,2023-02-03 21:50:36
163,vila velha,-20.3297,-40.2925,82.35,83,0,19.57,BR,2023-02-03 21:50:36
164,hambantota,6.1241,81.1185,75.54,100,75,4.61,LK,2023-02-03 21:50:36
165,severo-yeniseyskiy,60.3725,93.0408,-4.59,100,100,3.02,RU,2023-02-03 21:50:37
166,tuatapere,-46.1333,167.6833,77.99,53,2,5.37,NZ,2023-02-03 21:50:38
167,phan thiet,10.9333,108.1,72.79,79,98,6.58,VN,2023-02-03 21:50:38
168,pangoa,-12.1167,-73.0,70.0,96,100,1.52,PE,2023-02-03 21:50:38
169,fairbanks,64.8378,-147.7164,10.49,82,75,0.0,US,2023-02-03 21:50:00
170,ilulissat,69.2167,-51.1,8.62,72,75,0.0,GL,2023-02-03 21:50:39
171,mogadishu,2.0371,45.3438,75.78,75,92,19.28,SO,2023-02-03 21:50:40
172,dikson,73.5069,80.5464,3.74,96,100,0.54,RU,2023-02-03 21:50:41
173,gwembe,-16.4975,27.6069,64.47,93,89,3.09,ZM,2023-02-03 21:50:41
174,obera,-27.4871,-55.1199,68.72,95,95,3.83,AR,2023-02-03 21:50:42
175,kananga,-5.8958,22.4178,69.66,98,100,3.89,CD,2023-02-03 21:50:42
176,ostrovnoy,68.0531,39.5131,10.74,93,99,8.1,RU,2023-02-03 21:47:12
177,luanda,-8.8368,13.2343,80.6,78,40,11.5,AO,2023-02-03 21:48:47
178,sechenovo,55.2244,45.8906,25.95,94,100,5.32,RU,2023-02-03 21:50:43
179,rafai,4.95,23.9167,74.68,24,0,4.32,CF,2023-02-03 21:50:44
180,yellowknife,62.456,-114.3525,-10.68,70,75,5.75,CA,2023-02-03 21:47:01
181,sungaipenuh,-2.0833,101.3833,63.14,91,100,1.5,ID,2023-02-03 21:50:44
182,olafsvik,64.8945,-23.7142,35.62,76,74,42.52,IS,2023-02-03 21:50:45
183,nantucket,41.2835,-70.0995,21.25,32,0,26.46,US,2023-02-03 21:50:46
184,sinnamary,5.3833,-52.95,77.0,85,97,14.23,GF,2023-02-03 21:50:46
185,dudinka,69.4058,86.1778,11.14,96,100,8.23,RU,2023-02-03 21:50:47
186,leningradskiy,69.3833,178.4167,-27.36,100,100,0.83,RU,2023-02-03 21:50:47
187,osorno,-40.5667,-73.15,80.91,44,0,12.66,CL,2023-02-03 21:50:00
188,gaya,24.7833,85.0,51.71,87,90,0.0,IN,2023-02-03 21:50:48
189,katav-ivanovsk,54.7531,58.1956,5.02,94,27,4.05,RU,2023-02-03 21:50:49
190,haveli,30.4502,73.6989,55.53,38,2,3.98,PK,2023-02-03 21:50:49
191,mount isa,-20.7333,139.5,69.57,37,63,13.8,AU,2023-02-03 21:50:49
192,katsuura,35.1333,140.3,44.13,87,100,8.41,JP,2023-02-03 21:50:50
193,chinsali,-10.5414,32.0816,60.91,98,100,3.15,ZM,2023-02-03 21:50:51
194,lagoa,39.05,-27.9833,59.63,81,100,9.82,PT,2023-02-03 21:45:58
195,bereda,43.2686,-7.5406,37.65,90,0,0.27,ES,2023-02-03 21:50:52
196,qasigiannguit,68.8193,-51.1922,8.85,97,100,8.37,GL,2023-02-03 21:50:53
197,praia da vitoria,38.7333,-27.0667,60.76,94,40,11.92,PT,2023-02-03 21:50:54
198,visnes,59.3556,5.2242,38.21,86,20,9.22,NO,2023-02-03 21:50:54
199,suntar,62.1444,117.6319,-15.66,99,100,3.06,RU,2023-02-03 21:50:55
